0.599274	-0.752354	5.43147
0.695134	0.657722	3.14027
0.892371	-0.103711	4.50965
0.473207	-0.00482768	6.10442
0.869645	0.0975671	0.76569
0.832749	-0.101469	6.15378
0.966801	-0.547779	5.23056
1.50213	-0.394134	1.74958
0.374922	0.676626	5.71991
0.225762	-0.000984785	1.32715
0.205027	0.706892	1.61065
0.635	0.546775	2.94158
1.96727	0.144585	2.48221
1.36034	0.426139	2.51591
1.31347	0.440203	2.75467
0.448091	-0.798601	6.23974
0.547567	-0.922603	2.39661
0.405687	0.30087	5.25705
1.17216	-0.444541	6.1194
0.315542	0.111052	3.31369
0.408437	0.714442	2.76298
0.493686	-0.150234	0.15496
0.251509	0.107935	6.20433
0.391225	-0.175609	3.13485
0.401737	0.963464	3.87826
0.275188	0.730778	5.30315
0.309977	0.572503	4.81716
0.771596	-0.599532	2.97304
0.789149	0.269282	3.1472
0.370023	-0.199356	6.13698
