0-10%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.242118	0.329912	0.0228364	0.0724932	0.155746	0.841872
0.728393	0.383837	0.010667	0.0509886	0.119569	0.252983
1.21911	0.492505	0.00713738	0.056215	0.118325	0.188947
1.71404	0.610274	0.00690123	0.0623071	0.128132	0.18751
2.21188	0.690237	0.00745034	0.0698043	0.148799	0.223398
2.71147	0.763344	0.00878709	0.084087	0.172582	0.262868
3.35553	0.628345	0.00677225	0.0837205	0.146272	0.211304
4.36448	0.634647	0.0114162	0.0989923	0.148761	0.197427
5.37455	0.686049	0.0201786	0.113859	0.172348	0.236894
6.58586	0.516134	0.0246487	0.0845912	0.139929	0.213671
8.63676	0.470605	0.0554815	0.101224	0.196011	0.594231

30-50%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.242118	0.322757	0.0305712	0.0620966	0.148466	0.8229
0.728393	0.373681	0.0155334	0.043347	0.113865	0.245099
1.21911	0.46981	0.0113607	0.044259	0.108736	0.177679
1.71404	0.599812	0.0115588	0.0571059	0.123978	0.182963
2.21188	0.70827	0.0132635	0.065485	0.149902	0.22739
2.71147	0.771158	0.0160408	0.0779935	0.171068	0.263417
3.35553	0.702337	0.0132276	0.0963306	0.165086	0.23729
4.36448	0.763136	0.0236928	0.119558	0.179227	0.23766
5.37455	0.88829	0.0453519	0.17227	0.240293	0.319414
6.58586	0.551231	0.0491356	0.10814	0.160828	0.235813
8.63676	0.522138	0.107348	0.190096	0.266118	0.676907

