phi:60-70%, pT(GeV/c)    mT-m0(GeV/c2)    d2N/(2πmTdmTdy) (GeV/c2)-2    stat. err.
0.45    0.09494    0.11326    0.01423
0.55    0.13896    0.10055    0.0117
0.65    0.18966    0.09921    0.00999
0.75    0.24625    0.08334    6.43E-03
0.9    0.34054    0.05228    2.56E-03
1.1    0.48045    0.0376    2.01E-03
1.35    0.67241    0.01987    1.36E-03
1.65    0.92029    0.00988    8.36E-04
2    1.22563    3.69E-03    3.81E-04
2.4    1.58837    1.65E-03    2.13E-04
2.8    1.96066    5.56E-04    7.51E-05
3.25    2.387    2.46E-04    3.02E-05
3.75    2.86698    6.74E-05    1.47E-05
4.5    3.59493    1.75E-05    3.15E-06
