phi:30-40%, pT(GeV/c)    mT-m0(GeV/c2)    d2N/(2πmTdmTdy) (GeV/c2)-2    stat. err.
0.45    0.09494    0.53432    0.04939
0.55    0.13896    0.53432    0.0446
0.65    0.18966    0.4507    0.02836
0.75    0.24625    0.41392    2.14E-02
0.9    0.34054    0.27047    9.36E-03
1.1    0.48045    0.22814    8.52E-03
1.35    0.67241    0.11548    5.30E-03
1.65    0.92029    0.0693    4.34E-03
2    1.22563    3.22E-02    2.35E-03
2.4    1.58837    1.16E-02    9.94E-04
2.8    1.96066    3.84E-03    5.11E-04
3.25    2.387    0.00164    1.94E-04
3.75    2.86698    4.20E-04    6.70E-05
4.5    3.59493    5.93E-05    9.91E-06
