phi:40-50%, pT(GeV/c)    mT-m0(GeV/c2)    d2N/(2πmTdmTdy) (GeV/c2)-2    stat. err.
0.45    0.09494    0.38259    0.04218
0.55    0.13896    0.32426    0.02874
0.65    0.18966    0.28651    0.0154
0.75    0.24625    0.26206    1.60E-02
0.9    0.34054    0.17234    6.28E-03
1.1    0.48045    0.12636    5.23E-03
1.35    0.67241    0.06119    3.09E-03
1.65    0.92029    0.03353    2.60E-03
2    1.22563    1.39E-02    1.17E-03
2.4    1.58837    7.20E-03    6.59E-04
2.8    1.96066    1.99E-03    2.20E-04
3.25    2.387    7.28E-04    1.10E-04
3.75    2.86698    2.30E-04    4.27E-05
4.5    3.59493    5.24E-05    7.61E-06
