phi:0-5%, pT(GeV/c)    mT-m0(GeV/c2)    d2N/(2πmTdmTdy) (GeV/c2)-2    stat. err.
0.45    0.09494    2.06219    0.17506
0.55    0.13896    1.74032    0.09899
0.65    0.18966    1.51396    0.08135
0.75    0.24625    1.24382    5.60E-02
0.9    0.34054    1.04802    3.14E-02
1.1    0.48045    0.71307    2.31E-02
1.35    0.67241    0.37748    1.41E-02
1.65    0.92029    0.19131    1.04E-02
2    1.22563    9.14E-02    5.07E-03
2.4    1.58837    3.08E-02    2.27E-03
2.8    1.96066    1.19E-02    1.29E-03
3.25    2.387    0.00382    6.35E-04
3.75    2.86698    9.65E-04    1.96E-04
4.5    3.59493    1.48E-04    3.03E-05
