phi:10-20%, pT(GeV/c)    mT-m0(GeV/c2)    d2N/(2πmTdmTdy) (GeV/c2)-2    stat. err.
0.45    0.09494    1.11267    0.11549
0.55    0.13896    1.09443    0.10008
0.65    0.18966    0.94291    0.04171
0.75    0.24625    0.85506    4.86E-02
0.9    0.34054    0.6437    2.45E-02
1.1    0.48045    0.48094    2.07E-02
1.35    0.67241    0.29415    1.42E-02
1.65    0.92029    0.14916    9.88E-03
2    1.22563    6.31E-02    4.62E-03
2.4    1.58837    2.42E-02    2.29E-03
2.8    1.96066    7.70E-03    1.10E-03
3.25    2.387    0.00338    3.56E-04
3.75    2.86698    8.98E-04    1.71E-04
4.5    3.59493    1.27E-04    3.04E-05
