phi:50-60%, pT(GeV/c)    mT-m0(GeV/c2)    d2N/(2πmTdmTdy) (GeV/c2)-2    stat. err.
0.45    0.09494    0.22323    0.03267
0.55    0.13896    0.22316    0.02127
0.65    0.18966    0.16345    0.01261
0.75    0.24625    0.13406    8.14E-03
0.9    0.34054    0.09959    4.00E-03
1.1    0.48045    0.06494    3.03E-03
1.35    0.67241    0.03559    1.91E-03
1.65    0.92029    0.01623    1.37E-03
2    1.22563    8.06E-03    7.55E-04
2.4    1.58837    3.35E-03    3.60E-04
2.8    1.96066    1.40E-03    1.51E-04
3.25    2.387    5.31E-04    6.89E-05
3.75    2.86698    1.53E-04    2.86E-05
4.5    3.59493    4.26E-05    6.43E-06
