phi:20-30%, pT(GeV/c)    mT-m0(GeV/c2)    d2N/(2πmTdmTdy) (GeV/c2)-2    stat. err.
0.45    0.09494    0.71833    0.07116
0.55    0.13896    0.66675    0.04257
0.65    0.18966    0.6558    0.02811
0.75    0.24625    0.57443    3.13E-02
0.9    0.34054    0.43438    1.54E-02
1.1    0.48045    0.3284    2.43E-02
1.35    0.67241    0.16605    8.97E-03
1.65    0.92029    0.10532    7.17E-03
2    1.22563    4.33E-02    3.47E-03
2.4    1.58837    1.86E-02    1.80E-03
2.8    1.96066    5.89E-03    7.37E-04
3.25    2.387    0.00222    2.84E-04
3.75    2.86698    6.75E-04    1.21E-04
4.5    3.59493    1.94E-04    2.04E-05
