phi:70-80%, pT(GeV/c)    mT-m0(GeV/c2)    d2N/(2πmTdmTdy) (GeV/c2)-2    stat. err.
0.45    0.09494    0.06311    0.01282
0.55    0.13896    0.05587    0.00767
0.65    0.18966    0.04471    0.00519
0.75    0.24625    0.03527    3.44E-03
0.9    0.34054    0.02369    1.40E-03
1.1    0.48045    0.01385    9.37E-04
1.35    0.67241    0.00796    6.07E-04
1.65    0.92029    0.00341    4.12E-04
2    1.22563    1.35E-03    1.68E-04
2.4    1.58837    6.15E-04    7.82E-05
2.8    1.96066    2.03E-04    3.50E-05
3.25    2.387    5.68E-05    1.24E-05
3.75    2.86698    3.06E-05    6.16E-06
4.5    3.59493    5.57E-06    1.88E-06
