1.81017	1.00971
1.87674	1.00971
1.92349	1.03674
1.87724	1.03048
1.89842	1.02916
1.97208	1.02916
1.83194	0.978285
1.71181	0.978285
1.8506	1.02637
1.90205	0.955239
1.72945	0.988006
1.84848	0.988006
1.80981	1.07259
1.79108	1.03267
1.80946	1.72062
1.75783	1.72062
1.88836	1.01617
1.87528	1.05129
1.86213	0.964776
1.89229	1.03077
1.85699	1.08734
1.87184	1.01694
1.94979	0.998385
2.01583	0.998385
1.96597	1.02625
1.86227	1.01896
1.83371	1.01896
1.97297	0.992993
1.87937	0.992993
1.87473	1.05547
1.85694	0.990665
2.00381	1.01815
1.70058	1.01815
1.73816	1.06253
1.87419	1.0254
1.88521	1.00696
1.7463	1.07791
1.97215	1.02694
1.83074	1.0546
1.88208	1.19287
1.75297	1.01683
1.89954	1.06535
1.97334	1.05817
1.82986	1.05817
1.84382	1.02529
1.85583	1.02529
1.92312	1.03037
1.84184	1.19548
1.87708	1.02449
1.87241	1.0583
1.93388	1.00965
1.80334	1.36409
1.8458	0.978308
1.86064	0.978308
1.89225	0.960677
1.86355	1.01545
1.80749	1.0323
1.85216	1.0323
1.93225	1.00606
1.88906	1.00679
1.95489	1.00679
1.90955	1.02612
1.86978	1.02612
